,Pulled_ID,Pulled_Movie_Name,Pulled_Release_Date,Budget,Revenue,Profit
0,616904,Enter the Anime,2019-08-05,0,0,0
1,544087,Dark Forces: Shadow People,2018-05-18,1000000,0,-1000000
2,653522,The App,2019-12-26,0,0,0
3,485774,The Open House,2018-01-19,0,0,0
4,744876,Kaali Khuhi,2020-10-30,0,0,0
5,466550,Drive,2019-11-01,0,0,0
6,668156,Leyla Everlasting,2020-12-04,0,0,0
7,339095,The Last Days of American Crime,2020-06-05,0,0,0
8,183011,Justice League: The Flashpoint Paradox,2013-07-30,3500000,0,-3500000
9,734780,Sardar Ka Grandson,2021-05-18,0,0,0
10,816836,Searching for Sheela,2021-04-22,0,0,0
11,158011,The Call,2013-03-14,13000000,68572378,55572378
12,17314,Pistol Whipped,2008-03-04,10000000,0,-10000000
13,748402,All Because of You,2020-10-01,0,0,0
14,180305,Mercy,2014-10-07,0,0,0
15,650029,After the Raid,2019-12-19,0,0,0
16,429417,Ghost Stories,2018-01-20,0,135095,135095
17,505225,The Last Thing He Wanted,2020-02-14,0,0,0
18,629277,What Happened to Mr Cha?,2021-01-01,0,0,0
19,351460,Death Note,2017-08-25,40000000,0,-40000000
20,628039,"Hello, Privilege. It's Me, Chelsea",2019-09-13,0,0,0
21,612152,Secret Obsession,2019-07-18,0,0,0
22,582570,Sextuplets,2019-08-16,0,0,0
23,346685,The Girl on the Train,2016-10-05,45000000,173185859,128185859
24,615678,Thunder Force,2021-04-09,0,0,0
25,714375,Fatal Affair,2020-07-16,0,0,0
26,802504,Just Say Yes,2021-04-02,0,0,0
27,661747,Seriously Single,2020-07-31,0,0,0
28,659063,The Misadventures of Hedi and Cokeman,2021-02-10,0,0,0
29,563766,5 Star Christmas,2018-12-07,0,0,0
30,600700,After Maria,2019-04-28,0,0,0
31,407559,I Am the Pretty Thing That Lives in the House,2016-09-10,0,0,0
32,504321,Paris Is Us,2019-02-22,0,0,0
33,560362,Rattlesnake,2019-10-25,0,0,0
34,19848,The Players Club,1998-04-08,4500000,23261485,18761485
35,705899,We Are One With President-Elect Barack Obama,2009-01-18,0,0,0
36,756252,Finding Agnes,2020-11-30,0,0,0
37,433249,IO,2019-01-18,0,0,0
38,793723,Sentinelle,2021-03-05,0,0,0
39,688900,Sol Levante,2020-04-02,0,0,0
40,408755,The Binding,2016-08-02,0,0,0
41,615677,We Can Be Heroes,2020-12-25,0,0,0
42,765123,Christmas Crossfire,2020-12-04,0,0,0
43,429238,Coin Heist,2017-01-06,0,0,0
44,601807,Mrs. Serial Killer,2020-05-01,0,0,0
45,681019,Nobody Sleeps in the Woods Tonight,2020-03-13,0,0,0
46,433245,Take the 10,2017-01-20,0,0,0
47,637157,The Main Event,2020-04-10,0,0,0
48,347969,The Ridiculous 6,2015-12-11,60000000,0,-60000000
49,659067,Earth and Blood,2020-04-17,0,0,0
50,726664,Fearless,2020-08-14,0,0,0
51,639609,Holiday Rush,2019-11-28,0,0,0
52,676844,The Day of the Lord,2020-10-30,0,0,0
53,550115,Airplane Mode,2019-08-02,0,0,0
54,475210,How It Ends,2018-07-13,20000000,0,-20000000
55,683199,Love Like the Falling Rain,2020-10-15,0,0,0
56,40170,Mortal Kombat: Rebirth,2010-06-08,7500,0,-7500
57,787298,Squared Love,2021-02-11,0,0,0
58,323372,The Corpse of Anna Fritz,2015-03-15,0,0,0
59,433244,Clinical,2017-01-13,0,0,0
60,615177,Coffee & Kareem,2020-04-03,0,0,0
61,399131,Dude,2018-04-20,0,0,0
62,664524,Geez & Ann,2021-02-25,0,0,0
63,718867,The Larva Island Movie,2020-07-23,0,0,0
64,628756,American Factory: A Conversation with the Obamas,2019-09-04,0,0,0
65,706510,Desperados,2020-07-01,0,0,0
66,747349,Dolly Parton's Christmas on the Square,2020-11-22,0,0,0
67,531949,Father of the Year,2018-07-20,0,0,0
68,582868,Firebrand,2019-02-22,0,0,0
69,710871,Ghost Lab,2021-05-26,0,0,0
70,346650,Girlfriend's Day,2017-01-24,0,0,0
71,402582,Handsome: A Netflix Mystery Movie,2017-05-05,0,0,0
72,617505,Hubie Halloween,2020-10-07,14000000,0,-14000000
73,463053,Ibiza,2018-05-25,0,0,0
74,531306,Rim of the World,2019-05-24,0,0,0
75,419700,Sandy Wexler,2017-04-14,0,0,0
76,582607,See You Yesterday,2019-05-03,0,0,0
77,602310,Still Laugh-In: The Stars Celebrate,2019-05-14,0,0,0
78,778870,"Strip Down, Rise Up",2021-02-05,0,0,0
79,625450,Tall Girl,2019-09-13,0,0,0
80,10020,Beauty and the Beast,1991-11-13,25000000,377350553,352350553
81,465109,The Week Of,2018-04-27,0,0,0
